Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
Legal secretary,Retail,Decreasing,Moderate,37218.55,Associate Degree,15,5045,1415,73.22,79.0,UK,41.9,2,0.595165934416581,2
Advertising account executive,IT,Increasing,High,84705.37,Associate Degree,9,2168,251,9.22,79.57,China,49.15,2,0.5951605881426916,2
"Therapist, music",Retail,Decreasing,High,137623.91,Master’s Degree,16,5051,8752,72.63,72.41,Germany,71.73,2,0.5951187935102165,2
Immigration officer,Finance,Decreasing,Low,126762.73,Bachelor’s Degree,1,8240,125,53.65,73.36,Canada,72.87,2,0.5950939152988902,2
"Engineer, aeronautical",IT,Decreasing,Moderate,77566.91,High School,10,5247,5889,68.25,79.02,USA,52.04,2,0.5950846947886508,2
Advice worker,Manufacturing,Decreasing,High,31167.56,High School,12,3598,265,48.57,98.06,Australia,59.77,2,0.5950809372775929,2
Public librarian,Finance,Decreasing,High,106591.2,High School,17,9299,1368,81.1,64.71,India,75.79,2,0.5950591417191143,2
Armed forces logistics/support/administrative officer,Transportation,Increasing,High,57019.02,Master’s Degree,12,6201,9186,60.81,73.57,Brazil,73.92,2,0.595039180808717,2
Sub,Transportation,Decreasing,Low,45776.18,PhD,0,7451,8733,94.99,84.22,Brazil,39.15,2,0.5949880791210125,2
"Therapist, speech and language",Finance,Increasing,Low,51409.47,Bachelor’s Degree,8,8417,3970,26.79,98.05,USA,72.09,2,0.594968302874022,2
"Designer, interior/spatial",IT,Decreasing,High,134415.87,Associate Degree,5,8305,3150,1.43,76.15,Australia,68.75,2,0.5949173316779335,2
Operations geologist,Manufacturing,Increasing,Moderate,56744.45,Bachelor’s Degree,7,7849,3039,98.48,51.7,USA,33.82,2,0.5948701942303708,1
"Programmer, applications",Retail,Increasing,Moderate,141824.16,Master’s Degree,6,6896,2824,1.94,60.23,China,25.29,2,0.594864958265559,2
Operations geologist,Manufacturing,Decreasing,High,31754.99,PhD,7,7949,4844,96.65,81.18,China,79.23,2,0.5948569668708374,2
Sub,Retail,Increasing,Low,44989.38,Bachelor’s Degree,6,7476,2541,22.57,78.7,Australia,70.91,2,0.5948195416793557,2
Quantity surveyor,Finance,Increasing,Low,96056.63,Associate Degree,20,6183,4038,88.07,90.65,USA,28.47,2,0.5948174416667613,2
"Journalist, broadcasting",IT,Increasing,High,35089.04,Associate Degree,18,423,2152,75.04,30.86,Canada,56.72,2,0.5947894479745934,1
Industrial/product designer,Transportation,Decreasing,Moderate,141062.81,Associate Degree,18,4295,1980,87.43,81.81,India,64.82,2,0.5947401216878649,2
Systems developer,Education,Decreasing,Low,115304.59,Bachelor’s Degree,15,226,9491,77.89,95.01,China,46.67,2,0.594686656809888,2
"Copywriter, advertising",Transportation,Decreasing,Moderate,148069.02,Bachelor’s Degree,15,6481,3143,30.14,82.31,India,79.09,2,0.5945825618248975,2
Interior and spatial designer,Retail,Increasing,Moderate,77390.63,Associate Degree,12,3070,6671,3.61,63.83,Australia,29.27,2,0.5945412074070607,2
Passenger transport manager,Retail,Decreasing,Low,35983.34,High School,3,3565,8213,59.99,75.92,Canada,59.62,2,0.5945207792875589,2
Civil Service fast streamer,Healthcare,Decreasing,High,139941.92,High School,13,3479,9471,27.53,69.07,UK,75.22,2,0.5944668852396713,2
Video editor,Healthcare,Increasing,High,122188.2,High School,0,366,4093,32.45,62.96,India,70.38,2,0.5944353361765179,2
IT consultant,Transportation,Decreasing,Moderate,142626.22,Master’s Degree,17,8125,1915,53.21,93.66,Australia,71.34,2,0.5944301478268632,2
"Geneticist, molecular",IT,Increasing,High,70308.04,High School,14,5175,3270,47.93,92.96,USA,79.89,2,0.594354778718096,2
"Conservator, museum/gallery",Manufacturing,Decreasing,High,100500.55,High School,7,2263,9491,96.13,89.05,Canada,31.88,2,0.5943138449587357,2
Primary school teacher,Finance,Increasing,High,101039.2,PhD,12,680,7166,42.8,93.91,Australia,34.69,2,0.5943075328349089,2
Restaurant manager,Finance,Decreasing,Moderate,133656.84,PhD,10,666,2909,59.29,90.66,UK,51.43,2,0.5942639488168499,2
"Engineer, aeronautical",Manufacturing,Increasing,Moderate,69271.86,Associate Degree,13,6399,8985,38.45,81.34,USA,61.92,2,0.5942524561731759,2
Arboriculturist,IT,Increasing,Moderate,129001.18,Associate Degree,0,2303,9260,48.84,83.56,UK,73.71,2,0.5942373226668108,2
"Engineer, land",Manufacturing,Decreasing,Low,36421.84,Master’s Degree,7,4202,5461,60.6,83.78,Brazil,55.89,2,0.5942337980697221,2
Advertising art director,Education,Decreasing,High,135750.33,Associate Degree,16,3165,7923,49.68,98.21,India,34.82,2,0.5942283105860486,2
"Surveyor, hydrographic",Retail,Decreasing,High,56468.67,PhD,14,824,5111,68.91,66.65,UK,55.47,2,0.5941176964192787,2
Soil scientist,Healthcare,Increasing,High,100098.05,Associate Degree,2,5732,9383,84.68,76.32,Germany,57.25,2,0.594043250338256,2
Personnel officer,Healthcare,Increasing,Moderate,59713.66,Master’s Degree,9,567,5023,59.39,62.97,Canada,74.71,2,0.5940195997378599,2
Public relations account executive,Education,Increasing,High,123677.75,Bachelor’s Degree,17,2473,9802,86.45,75.32,UK,49.38,2,0.5940030550986375,2
Dance movement psychotherapist,Transportation,Increasing,Low,129151.54,Master’s Degree,15,4352,7392,48.5,93.83,UK,45.53,2,0.5939709483472659,2
"Buyer, industrial",Entertainment,Increasing,Low,81225.5,Master’s Degree,1,8661,8677,71.09,91.83,Canada,40.4,2,0.5939011438734847,2
Location manager,Manufacturing,Increasing,Moderate,65190.08,High School,19,3506,6965,65.53,99.96,China,55.27,2,0.5938982888360522,2
"Programmer, multimedia",Transportation,Increasing,High,49501.99,Master’s Degree,20,468,6648,56.37,96.3,Brazil,25.75,2,0.5938033701663764,2
Financial adviser,Education,Decreasing,High,146910.69,Master’s Degree,11,5397,5799,36.81,63.13,Australia,79.2,2,0.5937888602585201,2
Stage manager,Entertainment,Decreasing,Moderate,50877.29,PhD,9,8862,8053,67.53,93.41,Canada,50.79,2,0.5937311592748756,2
Amenity horticulturist,Transportation,Increasing,High,143970.71,Master’s Degree,13,1379,1948,69.12,63.26,UK,65.73,2,0.5937018384093714,2
"Designer, textile",Education,Decreasing,Low,91684.56,Master’s Degree,1,7845,8552,50.91,78.92,Germany,52.41,2,0.5936684986487845,2
"Psychologist, prison and probation services",Entertainment,Increasing,Moderate,39789.34,PhD,3,7386,2275,52.3,61.23,Brazil,41.89,2,0.5935846675432667,2
Personal assistant,Transportation,Increasing,Low,117909.29,High School,3,837,8428,53.65,80.37,Germany,50.7,2,0.5935806297155775,2
"Teacher, special educational needs",Entertainment,Increasing,Low,74326.98,PhD,14,4678,4082,92.6,76.77,Australia,56.96,2,0.5935179623173166,2
Plant breeder/geneticist,Entertainment,Increasing,Moderate,137631.91,Associate Degree,7,4131,8825,47.76,80.32,UK,78.1,2,0.5934865290426673,2
"Social research officer, government",Healthcare,Increasing,High,61824.26,PhD,15,1165,6885,70.51,0.84,UK,74.68,2,0.5934687610711751,0
Camera operator,Transportation,Increasing,Moderate,139632.75,Bachelor’s Degree,19,5980,1729,74.9,87.68,India,29.17,2,0.5934048303844862,2
Interpreter,IT,Increasing,Moderate,120819.53,Master’s Degree,12,4494,2907,61.43,76.93,UK,74.93,2,0.593399354027645,2
"Surveyor, planning and development",Education,Increasing,High,138014.53,High School,15,5108,6077,24.52,72.71,Canada,22.6,2,0.5933540282958202,2
Chief Marketing Officer,Education,Decreasing,Low,124309.86,PhD,0,1155,2235,9.63,95.01,UK,71.9,2,0.5933412963971844,2
Equities trader,Finance,Decreasing,Low,74922.92,Bachelor’s Degree,15,2827,664,1.64,71.51,China,60.69,2,0.5933073807996508,2
Plant breeder/geneticist,IT,Increasing,High,130388.97,PhD,11,2072,7531,50.12,77.74,Brazil,59.85,2,0.5932265342389198,2
"Programme researcher, broadcasting/film/video",Education,Decreasing,Moderate,75127.71,Bachelor’s Degree,11,4416,8227,98.24,64.45,USA,42.91,2,0.59320940502358,2
Secretary/administrator,IT,Decreasing,Low,35143.32,Master’s Degree,16,4424,4151,12.31,91.49,Canada,32.89,2,0.5931825063892092,2
Pension scheme manager,Retail,Decreasing,Low,79469.64,High School,0,901,2074,27.03,60.73,UK,63.36,2,0.5931794266690461,2
Operational investment banker,Transportation,Increasing,High,108446.8,Associate Degree,2,7987,9096,86.73,89.83,UK,40.92,2,0.5931576426094541,2
Wellsite geologist,Manufacturing,Decreasing,Moderate,123979.76,Master’s Degree,8,1466,5811,29.23,81.25,UK,58.11,2,0.5931551778897767,2
Psychiatric nurse,Manufacturing,Decreasing,High,137813.03,Bachelor’s Degree,20,1797,8325,30.72,81.05,UK,44.96,2,0.5931134184164888,2
Energy manager,Entertainment,Increasing,High,118533.6,PhD,10,2005,654,76.42,76.39,UK,67.66,2,0.5931054694957747,2
Special effects artist,Manufacturing,Increasing,High,147436.11,Associate Degree,9,8945,1672,3.66,85.21,India,30.25,2,0.5930801094947405,2
Paediatric nurse,Entertainment,Decreasing,Moderate,147896.06,Associate Degree,12,9027,7435,31.81,62.03,Brazil,56.9,2,0.5930747148366204,2
"Psychologist, counselling",Finance,Increasing,Moderate,95109.31,Bachelor’s Degree,1,210,5156,87.87,43.09,UK,42.74,2,0.593059885002793,1
Herbalist,Manufacturing,Increasing,Moderate,132936.9,Master’s Degree,7,3733,1170,59.64,99.84,Australia,29.02,2,0.592951542840337,2
Printmaker,Finance,Decreasing,High,98965.4,PhD,14,3751,7886,51.68,90.02,Germany,57.75,2,0.5929202762035063,2
Publishing copy,Transportation,Decreasing,Low,148482.71,Master’s Degree,13,1815,1427,71.8,46.05,Brazil,45.28,2,0.5929029556769554,1
Petroleum engineer,Finance,Increasing,Low,131996.82,Bachelor’s Degree,20,3394,5720,78.41,97.51,China,28.91,2,0.5928512716031693,2
"Surveyor, hydrographic",IT,Decreasing,Moderate,72372.31,Bachelor’s Degree,7,3478,883,50.73,89.17,China,52.33,2,0.5928202848447064,2
Chartered accountant,Entertainment,Decreasing,Low,140153.0,Master’s Degree,14,4105,7470,28.62,60.18,Australia,23.57,2,0.5928021974100104,2
Product/process development scientist,Transportation,Decreasing,Low,32638.06,Bachelor’s Degree,7,4590,1431,69.48,76.26,Brazil,26.76,2,0.5927299908633625,2
Production manager,Healthcare,Decreasing,Moderate,35891.37,Bachelor’s Degree,19,646,8007,84.46,32.65,Australia,23.47,2,0.5927265360968226,1
Mechanical engineer,Finance,Decreasing,Moderate,94261.47,Bachelor’s Degree,6,882,5669,50.27,73.26,China,67.67,2,0.5926965991467791,2
Manufacturing systems engineer,IT,Increasing,High,93303.64,High School,12,1156,746,67.21,84.77,Germany,47.78,2,0.5926945212015023,2
Mechanical engineer,Manufacturing,Decreasing,Moderate,64224.36,Bachelor’s Degree,11,5441,753,5.62,87.62,Australia,47.44,2,0.5926850847200053,2
"Designer, television/film set",Entertainment,Increasing,Low,128242.47,Associate Degree,3,9307,9349,67.76,76.94,UK,51.68,2,0.5926812877078294,2
Printmaker,Manufacturing,Decreasing,Low,93262.42,High School,14,5688,5873,48.36,92.19,USA,75.39,2,0.5926259034753594,2
Orthoptist,Manufacturing,Increasing,Moderate,63344.38,Bachelor’s Degree,19,2231,7204,88.98,68.01,Canada,67.44,2,0.5926249516429605,2
Interpreter,Retail,Increasing,High,46779.38,Associate Degree,18,1436,4098,74.44,89.79,India,67.14,2,0.5926245894523533,2
Cytogeneticist,Transportation,Increasing,Moderate,44749.93,Master’s Degree,10,5209,3987,20.2,85.96,Canada,79.92,2,0.5926203132006096,2
Television/film/video producer,Finance,Increasing,Moderate,138364.85,Bachelor’s Degree,7,9252,8966,65.84,47.85,China,37.46,2,0.5925825512165724,1
Quality manager,Healthcare,Increasing,High,122874.73,Bachelor’s Degree,6,9270,8220,12.76,40.5,UK,48.88,2,0.5925742972364322,1
Architectural technologist,Manufacturing,Decreasing,Low,57026.08,Bachelor’s Degree,1,218,169,30.64,69.27,Brazil,39.69,2,0.5925528211567019,2
"Embryologist, clinical",IT,Decreasing,High,82911.48,Associate Degree,13,7672,9081,23.12,97.03,Brazil,46.68,2,0.5925314936947921,2
"Optician, dispensing",Manufacturing,Decreasing,Low,110398.7,PhD,1,154,5707,21.02,98.68,India,32.93,2,0.5925263401031768,2
Operations geologist,Retail,Increasing,Low,62517.94,Master’s Degree,15,2631,171,11.06,82.45,China,41.8,2,0.5924965781132685,2
Retail merchandiser,Entertainment,Increasing,Moderate,137695.1,PhD,19,199,8462,8.84,90.15,Canada,55.26,2,0.5924775722637659,2
Financial adviser,IT,Increasing,High,99689.32,PhD,8,3677,4137,1.96,70.64,China,66.45,2,0.5924530637531078,2
Multimedia programmer,Education,Decreasing,Moderate,107303.19,Master’s Degree,4,1918,898,93.57,60.02,Brazil,27.45,2,0.5924108619719028,2
Medical illustrator,Healthcare,Increasing,Low,36750.17,Master’s Degree,0,662,9369,38.22,82.59,India,47.66,2,0.5923700716463383,2
Commercial art gallery manager,IT,Increasing,Low,68784.2,Bachelor’s Degree,14,231,733,36.03,75.25,India,73.1,2,0.5923402367777368,2
Commercial horticulturist,Entertainment,Decreasing,Low,111137.25,Master’s Degree,2,2478,2137,70.03,90.18,USA,36.03,2,0.5922731887975303,2
Quality manager,Finance,Decreasing,Moderate,38516.5,Master’s Degree,7,2992,7170,52.08,50.07,UK,25.99,2,0.5922444892400157,1
Site engineer,Entertainment,Decreasing,High,80602.25,Bachelor’s Degree,15,6160,7810,3.84,97.14,UK,61.45,2,0.5921681868261707,2
"Doctor, hospital",Entertainment,Decreasing,Low,89445.51,Master’s Degree,9,7569,1232,63.91,76.11,Australia,41.93,2,0.5921108055021594,2
Land/geomatics surveyor,Healthcare,Decreasing,High,121606.97,Associate Degree,10,7770,3546,48.34,64.09,Brazil,63.73,2,0.5920655729942066,2
Press photographer,Education,Increasing,High,90872.57,Bachelor’s Degree,10,5649,8895,98.0,90.59,Germany,63.05,2,0.5920654605670013,2
"Programmer, multimedia",Healthcare,Increasing,Moderate,53581.06,PhD,12,7375,8281,68.78,69.23,USA,71.08,2,0.5920585688389526,2
Psychotherapist,Healthcare,Decreasing,Low,128930.23,Associate Degree,3,7620,9086,3.22,83.7,China,26.28,2,0.5919755797613584,2
Music therapist,Retail,Decreasing,High,79746.99,PhD,18,7658,2847,81.61,99.86,USA,55.3,2,0.5919737597923397,2
Product manager,Healthcare,Increasing,Low,123066.75,PhD,2,9481,4889,56.0,63.09,China,22.03,2,0.5919413292788059,2
"Teacher, special educational needs",Education,Decreasing,Moderate,146266.35,Bachelor’s Degree,11,3867,5218,72.36,76.51,USA,77.25,2,0.5918987137279178,2
Recycling officer,Entertainment,Increasing,Moderate,43677.06,PhD,4,1525,910,13.64,67.99,Germany,31.28,2,0.5917777585202942,2
Hospital doctor,Transportation,Decreasing,High,100774.82,High School,8,139,6429,45.39,79.36,India,76.8,2,0.59169231802927,2
Chemical engineer,Transportation,Decreasing,Low,81952.14,Bachelor’s Degree,18,8245,7909,2.26,88.82,Germany,46.91,2,0.5916644067827248,2
Textile designer,IT,Decreasing,High,51272.68,High School,11,9454,9983,49.16,97.08,Canada,61.96,2,0.5915971268215674,2
Archivist,Retail,Increasing,Low,132477.69,High School,18,2443,4944,91.41,5.19,Australia,35.22,2,0.591566046895697,0
"Engineer, building services",Healthcare,Increasing,Moderate,36572.94,High School,13,415,4070,21.51,67.75,Canada,27.1,2,0.5915176423043134,2
Quality manager,Entertainment,Increasing,Moderate,132006.92,Bachelor’s Degree,10,1753,3574,54.36,17.78,Canada,52.65,2,0.5915104301741216,0
"Scientist, research (physical sciences)",Manufacturing,Decreasing,Moderate,30709.84,Bachelor’s Degree,5,5532,7395,45.19,67.77,Germany,62.86,2,0.5914981446585136,2
"Psychologist, educational",Manufacturing,Decreasing,Low,40653.95,Master’s Degree,1,8612,8734,61.73,79.46,Brazil,37.75,2,0.5914871158472862,2
Product/process development scientist,Manufacturing,Decreasing,Low,53824.11,Bachelor’s Degree,16,7171,8062,92.07,92.17,USA,49.5,2,0.5914761494338693,2
Field seismologist,Transportation,Decreasing,High,90042.7,High School,14,920,9897,84.38,94.5,UK,45.47,2,0.5914602023756044,2
"Social research officer, government",Entertainment,Decreasing,High,52404.55,Associate Degree,18,1097,5241,11.98,2.1,Canada,42.36,2,0.5913941392957852,0
Sales executive,Education,Decreasing,High,102553.04,Associate Degree,8,4027,1424,94.99,89.19,Canada,60.54,2,0.5913737544439802,2
Psychiatrist,IT,Decreasing,Low,45841.42,Associate Degree,2,8222,2412,85.06,79.75,USA,51.98,2,0.5913660150928302,2
Television/film/video producer,Retail,Increasing,High,44385.72,Master’s Degree,2,9916,8693,29.42,77.37,Brazil,27.48,2,0.5913589112570975,2
"Psychologist, counselling",Retail,Increasing,High,37189.87,High School,13,2975,9996,58.35,3.51,Canada,71.94,2,0.5913506186256349,0
"Teacher, secondary school",Healthcare,Increasing,High,73445.85,Bachelor’s Degree,0,5035,166,67.47,96.63,UK,77.16,2,0.5913372782960851,2
Quantity surveyor,Education,Increasing,Low,112433.89,Bachelor’s Degree,11,1117,6554,78.53,90.57,Australia,79.0,2,0.5913367513048635,2
"Designer, textile",Retail,Increasing,Moderate,79311.62,PhD,12,4112,9912,7.42,84.21,UK,43.65,2,0.5913264931917773,2
Tourist information centre manager,Healthcare,Decreasing,Low,80859.93,Bachelor’s Degree,14,3143,5547,83.81,82.79,USA,68.93,2,0.5913212200680651,2
"Designer, furniture",Entertainment,Decreasing,Low,135582.09,PhD,13,460,7761,60.55,89.72,Australia,62.23,2,0.5913018309036682,2
"Producer, television/film/video",Entertainment,Decreasing,Moderate,36280.4,Master’s Degree,12,2686,4965,73.19,60.6,India,48.66,2,0.5912989416986257,2
Volunteer coordinator,Retail,Increasing,High,51119.39,High School,5,5603,7867,71.17,91.26,USA,74.9,2,0.591266221651014,2
Secondary school teacher,Education,Decreasing,Low,108539.38,Master’s Degree,0,765,9981,26.95,72.61,Brazil,58.09,2,0.5912537073726156,2
"Psychotherapist, dance movement",Entertainment,Increasing,High,144350.61,High School,17,9590,9118,37.85,96.46,China,46.33,2,0.5911830441359368,2
Interior and spatial designer,Manufacturing,Increasing,High,131340.74,Bachelor’s Degree,8,806,1877,32.29,72.4,Brazil,72.59,2,0.5911752217985762,2
Operational investment banker,Finance,Decreasing,Moderate,134696.43,PhD,8,9687,6479,94.33,88.76,UK,27.79,2,0.5911517847580494,2
Forensic psychologist,IT,Increasing,Low,40218.71,High School,1,4379,1307,57.79,61.47,Brazil,53.35,2,0.5911156703666083,2
"Teacher, English as a foreign language",Retail,Decreasing,Moderate,72885.51,Associate Degree,11,7349,1022,16.06,94.11,Brazil,72.37,2,0.5911055966193421,2
Secretary/administrator,Healthcare,Increasing,Moderate,143194.04,Bachelor’s Degree,11,3546,7902,83.44,65.83,Canada,59.77,2,0.5910840655086758,2
Fine artist,Manufacturing,Increasing,Moderate,37280.77,Bachelor’s Degree,7,8563,5491,26.59,60.9,Australia,68.87,2,0.5910681876623112,2
Product manager,Healthcare,Increasing,Low,55912.57,Bachelor’s Degree,7,2601,9536,90.07,77.11,USA,74.21,2,0.5910460572252466,2
"Producer, television/film/video",IT,Increasing,Low,130894.5,PhD,17,6783,2223,45.7,88.57,Brazil,74.25,2,0.5910170343935944,2
Animator,Entertainment,Decreasing,Low,75926.45,High School,5,7431,683,80.62,83.51,Germany,49.41,2,0.5910116089801881,2
Investment analyst,Transportation,Increasing,Low,41997.68,Master’s Degree,5,2409,5015,92.86,95.99,UK,46.14,2,0.5910018679316466,2
Community development worker,Transportation,Decreasing,Moderate,134721.66,Master’s Degree,14,8587,1478,51.65,69.13,Brazil,74.64,2,0.5908476545972501,2
